host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, United States",within an hour,> 99,(78 - 98],t,other,t,f,other,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,t,(0.15 - 0.73],male,> 32,<= 2,<= 2,<= 6,1,4.83
"New York, NY",within a day,> 99,<= 78,f,other,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,4.0
other,NA,NA,> 98,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,> 1,(1 - 2],(100 - 200],<= 1,<= 1,0,f,<= 0.15,unknown,<= 16,<= 2,<= 2,<= 6,1,5.0
other,within an hour,> 99,(78 - 98],f,other,t,t,other,Brooklyn,Room in hotel,Private room,<= 2,<= 1,<= 1,NA,> 200,> 12,> 1,0,t,> 0.73,unknown,<= 16,<= 2,<= 2,<= 6,0,4.26
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,Williamsburg,Brooklyn,Entire condo,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,(1 - 12],<= 1,0,f,(0.15 - 0.73],female,> 32,<= 2,<= 2,> 9,0,5.0
"New York, NY",within a few hours,<= 99,<= 78,f,other,t,t,Murray Hill,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,> 0.73,unknown,<= 16,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",within a day,<= 99,<= 78,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,<= 1,<= 1,<= 100,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,> 6,> 2,> 9,0,4.17
other,within an hour,> 99,<= 78,f,other,t,t,East Village,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,NA,(1 - 2],<= 100,> 12,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.85
"New York, NY",NA,NA,<= 78,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],<= 2,<= 2,(6 - 9],1,4.79
"New York, NY",within a few hours,<= 99,<= 78,f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,1,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,> 9,0,5.0
other,within a few hours,> 99,<= 78,f,Harlem,t,t,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],> 6,<= 2,> 9,0,4.67
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,<= 1,<= 1,1,f,> 0.73,male,<= 16,<= 2,<= 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,t,Harlem,t,f,Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,> 1,<= 1,(1 - 2],> 200,> 12,> 1,0,f,> 0.73,female,<= 16,(2 - 6],<= 2,<= 6,0,4.86
other,NA,NA,> 98,f,other,f,f,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,(1 - 12],> 1,0,t,(0.15 - 0.73],male,<= 16,<= 2,<= 2,<= 6,0,5.0
other,within a day,<= 99,<= 78,f,other,t,t,East Village,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,male,(16 - 32],(2 - 6],<= 2,<= 6,0,4.4
"New York, NY",within an hour,> 99,(78 - 98],f,Chelsea,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,> 32,<= 2,<= 2,(6 - 9],0,4.0
other,a few days or more,<= 99,<= 78,f,other,t,f,other,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,f,<= 0.15,female,<= 16,<= 2,<= 2,<= 6,0,5.0
other,within a few hours,<= 99,(78 - 98],f,other,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,<= 6,1,5.0
other,NA,NA,NA,f,Astoria,t,t,other,Queens,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,(6 - 9],0,5.0
other,NA,NA,> 98,f,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,t,<= 0.15,female,(16 - 32],<= 2,<= 2,<= 6,1,2.0
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,Upper West Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,f,> 0.73,male,<= 16,<= 2,<= 2,> 9,0,4.78
"New York, NY",within an hour,> 99,(78 - 98],,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,> 3,> 1,> 1,<= 1,<= 100,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,(2 - 6],<= 2,> 9,0,4.71
"New York, NY",NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,f,East Village,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,> 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Astoria,t,t,Astoria,Queens,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Lower East Side,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.5
other,NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.67
"New York, NY",NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",NA,NA,<= 78,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in condo,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,<= 2,<= 2,<= 6,1,3.0
"New York, United States",within a day,<= 99,<= 78,f,Greenpoint,t,t,Greenpoint,Brooklyn,Entire home,Entire home/apt,> 3,> 1,> 1,(1 - 2],> 200,> 12,> 1,0,f,> 0.73,female,(16 - 32],> 6,<= 2,> 9,0,4.81
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.89
"New York, NY",NA,NA,NA,f,Greenpoint,t,t,Greenpoint,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,(16 - 32],(2 - 6],> 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Washington Heights,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,4.0
other,NA,NA,NA,f,Hell's Kitchen,t,t,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,4.0
"New York, NY",NA,NA,NA,f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.0
"New York, NY",NA,NA,NA,f,other,t,t,Murray Hill,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Upper East Side,t,f,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.0
other,NA,NA,NA,f,other,t,t,Lower East Side,Manhattan,Private room in condo,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.65
"New York, NY",NA,NA,NA,f,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,4.0
other,NA,NA,NA,f,Chelsea,t,t,Chelsea,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.5
other,NA,NA,NA,f,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,<= 16,> 6,> 2,(6 - 9],1,4.05
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Bedford-Stuyvesant,Brooklyn,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,4.83
"New York, NY",NA,NA,NA,f,Hell's Kitchen,t,t,Midtown,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.0
"New York, NY",NA,NA,NA,f,other,t,t,Kips Bay,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,other,Shared room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,t,(0.15 - 0.73],unknown,<= 16,> 6,> 2,> 9,1,4.78
"New York, NY",NA,NA,NA,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.5
"New York, NY",NA,NA,NA,f,Hell's Kitchen,t,f,Hell's Kitchen,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,> 12,<= 1,0,f,> 0.73,female,<= 16,> 6,> 2,(6 - 9],0,4.35
"New York, NY",NA,NA,NA,f,Upper West Side,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,NA,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,NA,f,Crown Heights,t,f,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Upper East Side,t,f,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,NA,f,other,t,t,other,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,East Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.67
"New York, NY",NA,NA,NA,f,Upper West Side,t,f,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,NA,f,other,t,t,Financial District,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Kips Bay,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,> 6,> 2,(6 - 9],0,4.73
other,NA,NA,NA,f,other,t,f,other,Queens,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
other,NA,NA,NA,f,Williamsburg,t,t,Williamsburg,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,> 6,> 2,> 9,0,4.5
"New York, United States",NA,NA,NA,f,Astoria,t,t,Long Island City,Queens,Entire rental unit,Entire home/apt,> 3,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Midtown,Manhattan,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,<= 16,> 6,> 2,(6 - 9],0,4.76
"New York, NY",NA,NA,NA,f,Chelsea,t,t,Chelsea,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,<= 1,NA,NA,> 12,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.67
other,NA,NA,NA,f,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],1,5.0
"New York, United States",NA,NA,NA,f,other,t,t,Upper West Side,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],NA,> 1,NA,NA,<= 1,<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,4.5
other,NA,NA,NA,f,Bedford-Stuyvesant,t,f,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,> 9,0,4.5
"New York, NY",NA,NA,NA,f,other,t,f,West Village,Manhattan,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,<= 1,<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
other,within an hour,> 99,NA,f,other,t,t,Bushwick,Brooklyn,Entire rental unit,Entire home/apt,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.71
"New York, NY",NA,NA,NA,f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,NA,NA,NA,> 12,<= 1,0,f,<= 0.15,female,(16 - 32],> 6,> 2,(6 - 9],0,4.87
"New York, NY",NA,NA,NA,f,other,t,t,other,Brooklyn,Entire rental unit,Entire home/apt,(2 - 3],NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,(6 - 9],0,4.89
"New York, NY",NA,NA,NA,f,other,f,t,East Harlem,Manhattan,Entire rental unit,Entire home/apt,> 3,NA,> 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, NY",NA,NA,> 98,f,other,t,t,other,Brooklyn,Private room in townhouse,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],<= 1,<= 1,0,f,<= 0.15,female,<= 16,<= 2,<= 2,> 9,0,4.0
other,NA,NA,> 98,f,other,t,t,Washington Heights,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,t,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.0
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,Washington Heights,Manhattan,Entire rental unit,Entire home/apt,<= 2,<= 1,> 1,(1 - 2],<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],female,<= 16,(2 - 6],<= 2,> 9,0,4.58
"New York, NY",NA,NA,<= 78,f,other,t,t,Flatbush,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,(78 - 98],t,other,t,t,other,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,> 0.73,female,<= 16,<= 2,<= 2,<= 6,1,4.8
"New York, United States",within a few hours,> 99,NA,f,Flushing,t,f,Flushing,Queens,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,<= 1,0,t,> 0.73,female,<= 16,(2 - 6],<= 2,<= 6,0,4.86
"New York, United States",within a few hours,> 99,<= 78,t,other,t,t,other,Queens,other,Entire home/apt,> 3,<= 1,> 1,> 2,> 200,(1 - 12],<= 1,0,f,(0.15 - 0.73],male,<= 16,<= 2,<= 2,(6 - 9],0,4.75
"New York, NY",NA,NA,> 98,f,other,t,t,other,Bronx,Private room in home,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,<= 16,<= 2,<= 2,<= 6,0,4.8
"New York, United States",a few days or more,<= 99,NA,f,Crown Heights,t,f,Crown Heights,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,(2 - 6],> 2,> 9,1,4.75
"New York, NY",within an hour,> 99,<= 78,f,other,t,t,other,Bronx,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,> 12,> 1,0,f,> 0.73,male,<= 16,<= 2,<= 2,<= 6,1,4.47
other,within an hour,> 99,(78 - 98],f,Long Island City,t,t,East Flatbush,Brooklyn,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,t,<= 0.15,female,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within an hour,> 99,NA,f,other,t,t,Financial District,Manhattan,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],> 200,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,5.0
other,NA,NA,> 98,f,other,t,t,Washington Heights,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,> 200,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,<= 2,<= 2,<= 6,1,1.0
other,NA,NA,<= 78,f,other,f,t,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,<= 0.15,male,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within a few hours,> 99,(78 - 98],t,Astoria,t,f,Astoria,Queens,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,<= 1,<= 1,0,f,<= 0.15,male,<= 16,(2 - 6],> 2,> 9,1,5.0
"New York, NY",within an hour,> 99,(78 - 98],f,other,f,t,other,Brooklyn,Entire home,Entire home/apt,> 3,<= 1,> 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,<= 6,0,4.0
other,within an hour,> 99,<= 78,f,other,t,t,other,Queens,Entire condo,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,<= 6,0,5.0
other,within a day,<= 99,<= 78,f,other,t,t,East Flatbush,Brooklyn,Private room in home,Private room,(2 - 3],<= 1,<= 1,> 2,<= 100,> 12,> 1,0,f,> 0.73,female,<= 16,<= 2,<= 2,<= 6,1,4.8
"New York, NY",within an hour,> 99,(78 - 98],f,other,t,t,East Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,t,(0.15 - 0.73],male,<= 16,<= 2,<= 2,<= 6,0,4.0
other,NA,NA,NA,f,Crown Heights,t,t,Crown Heights,Brooklyn,Entire rental unit,Entire home/apt,> 3,> 1,> 1,> 2,> 200,(1 - 12],<= 1,0,t,<= 0.15,female,<= 16,<= 2,<= 2,(6 - 9],0,4.67
"New York, NY",within a few hours,> 99,<= 78,t,other,t,t,Williamsburg,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,> 32,<= 2,<= 2,<= 6,0,5.0
other,within an hour,<= 99,(78 - 98],t,other,t,t,other,Queens,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],> 1,>1,f,> 0.73,male,<= 16,<= 2,<= 2,<= 6,1,4.7
"New York, NY",within a day,<= 99,NA,f,other,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,> 6,> 2,> 9,0,4.5
"New York, NY",NA,NA,<= 78,f,Astoria,t,t,Astoria,Queens,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,(0.15 - 0.73],male,<= 16,(2 - 6],<= 2,> 9,0,5.0
"New York, NY",NA,NA,NA,f,other,t,f,other,Queens,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],1,5.0
"New York, NY",NA,NA,NA,f,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],> 12,<= 1,0,t,> 0.73,female,<= 16,(2 - 6],<= 2,> 9,1,4.55
"New York, NY",within a few hours,> 99,<= 78,t,Flushing,t,f,other,Queens,Entire rental unit,Entire home/apt,> 3,<= 1,> 1,(1 - 2],> 200,> 12,> 1,0,f,> 0.73,female,> 32,(2 - 6],<= 2,<= 6,0,4.98
other,NA,NA,NA,f,other,t,t,other,Brooklyn,Private room in rental unit,Private room,<= 2,<= 1,<= 1,<= 1,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,<= 2,<= 2,<= 6,1,5.0
"New York, NY",NA,NA,<= 78,f,Long Island City,t,t,Astoria,Queens,Entire rental unit,Entire home/apt,> 3,<= 1,<= 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,t,(0.15 - 0.73],male,<= 16,<= 2,<= 2,(6 - 9],0,5.0
other,a few days or more,<= 99,<= 78,f,other,f,f,other,Brooklyn,Entire rental unit,Entire home/apt,<= 2,<= 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],male,<= 16,<= 2,<= 2,<= 6,0,5.0
"New York, NY",within a few hours,> 99,<= 78,f,other,t,t,other,Brooklyn,Private room in rental unit,Private room,<= 2,> 1,<= 1,<= 1,<= 100,<= 1,<= 1,1,f,> 0.73,male,<= 16,<= 2,<= 2,<= 6,1,5.0
"New York, NY",within an hour,> 99,> 98,t,Harlem,t,t,Harlem,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,> 1,(1 - 2],(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,<= 16,(2 - 6],<= 2,> 9,1,5.0
other,NA,NA,NA,f,other,t,t,East Harlem,Manhattan,Private room in rental unit,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,male,<= 16,(2 - 6],> 2,<= 6,1,5.0
