host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,gender,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,(16 - 32],> 6,> 2,(6 - 9],1,4.86
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],unknown,> 32,> 6,> 2,> 9,1,4.8
"New York, NY",within a few hours,> 99,(78 - 98],f,other,t,t,other,Manhattan,other,Private room,<= 2,> 1,<= 1,<= 1,<= 100,(1 - 12],> 1,0,f,(0.15 - 0.73],unknown,(16 - 32],(2 - 6],<= 2,(6 - 9],1,4.5
other,NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],male,<= 16,> 6,> 2,> 9,0,4.61
"New York, NY",NA,NA,NA,f,other,t,t,East Flatbush,Brooklyn,Private room in rental unit,Private room,<= 2,NA,> 1,NA,NA,> 12,<= 1,0,f,(0.15 - 0.73],female,<= 16,> 6,<= 2,(6 - 9],1,4.57
other,within an hour,> 99,(78 - 98],f,Upper East Side,t,t,Upper East Side,Manhattan,Entire rental unit,Entire home/apt,(2 - 3],<= 1,<= 1,(1 - 2],(100 - 200],> 12,> 1,1,f,(0.15 - 0.73],female,(16 - 32],(2 - 6],<= 2,(6 - 9],0,4.94
other,NA,NA,NA,f,other,t,t,East Village,Manhattan,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,female,<= 16,> 6,> 2,(6 - 9],0,4.0
"New York, United States",NA,NA,NA,f,Bushwick,t,t,Bushwick,Brooklyn,other,Private room,<= 2,NA,<= 1,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,(16 - 32],(2 - 6],> 2,(6 - 9],0,5.0
"New York, NY",NA,NA,NA,f,other,t,t,Upper East Side,Manhattan,Private room in rental unit,Private room,<= 2,<= 1,<= 1,> 2,(100 - 200],(1 - 12],<= 1,0,f,<= 0.15,unknown,> 32,> 6,> 2,> 9,1,3.8
"New York, NY",NA,NA,NA,f,Bedford-Stuyvesant,t,t,Bedford-Stuyvesant,Brooklyn,Private room in rental unit,Private room,<= 2,NA,NA,NA,NA,(1 - 12],<= 1,0,f,<= 0.15,unknown,(16 - 32],(2 - 6],> 2,<= 6,1,5.0
