host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
within an hour,>99.0,(78.0-98.0],t,other,f,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,t,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,1,4.83
within a day,>99.0,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,>98.0,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Room in hotel,Private room,<=2.0,<=1.0,<=1.0,NA,>200.0,>12.0,>1.0,0,t,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,0,4.26
within an hour,>99.0,<=78.0,f,other,t,Brooklyn,Entire condo,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,>9.0,0,5.0
within a few hours,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
within a day,<=99.0,<=78.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,0,4.17
within an hour,>99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,NA,(1.0-2.0],<=100.0,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.85
NA,NA,<=78.0,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],<=2.0,<=2.0,(6.0-9.0],1,4.79
within a few hours,<=99.0,<=78.0,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,1,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,>9.0,0,5.0
within a few hours,>99.0,<=78.0,f,Harlem,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.67
within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,<=1.0,<=1.0,1,f,>0.73,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
NA,NA,NA,t,Harlem,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,>1.0,<=1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,<=16.0,(2.0-6.0],<=2.0,<=6.0,0,4.86
NA,NA,>98.0,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a day,<=99.0,<=78.0,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.4
within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.0
a few days or more,<=99.0,<=78.0,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,<=99.0,(78.0-98.0],f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,NA,f,Astoria,t,Queens,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,t,<=0.15,(16.0-32.0],<=2.0,<=2.0,<=6.0,1,2.0
within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,>9.0,0,4.78
within an hour,>99.0,(78.0-98.0],,Bushwick,t,Brooklyn,Private room in rental unit,Private room,>3.0,>1.0,>1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,4.71
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,<=78.0,f,Bushwick,t,Brooklyn,Private room in condo,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,3.0
within a day,<=99.0,<=78.0,f,Greenpoint,t,Brooklyn,Entire home,Entire home/apt,>3.0,>1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,(16.0-32.0],>6.0,<=2.0,>9.0,0,4.81
NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.89
NA,NA,NA,f,Greenpoint,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Upper East Side,f,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,other,t,Manhattan,Private room in condo,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.65
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,NA,f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.5
NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],1,4.05
NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.83
NA,NA,NA,f,Hell's Kitchen,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Bushwick,t,Brooklyn,other,Shared room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,t,(0.15-0.73],<=16.0,>6.0,>2.0,>9.0,1,4.78
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,Hell's Kitchen,f,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.35
NA,NA,NA,f,Upper West Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,Crown Heights,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Upper East Side,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.67
NA,NA,NA,f,Upper West Side,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.73
NA,NA,NA,f,other,f,Queens,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Williamsburg,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,Astoria,t,Queens,Entire rental unit,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,>6.0,>2.0,(6.0-9.0],0,4.76
NA,NA,NA,f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.67
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],NA,>1.0,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,Bedford-Stuyvesant,f,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
within an hour,>99.0,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.71
NA,NA,NA,f,Upper East Side,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,<=0.15,(16.0-32.0],>6.0,>2.0,(6.0-9.0],0,4.87
NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.89
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,4.0
NA,NA,>98.0,f,other,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,>9.0,0,4.0
NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],0,4.0
within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,>1.0,(1.0-2.0],<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,4.58
NA,NA,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,(78.0-98.0],t,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.8
within a few hours,>99.0,NA,f,Flushing,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,t,>0.73,<=16.0,(2.0-6.0],<=2.0,<=6.0,0,4.86
within a few hours,>99.0,<=78.0,t,other,t,Queens,other,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.75
NA,NA,>98.0,f,other,t,Bronx,Private room in home,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,4.8
a few days or more,<=99.0,NA,f,Crown Heights,f,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,1,4.75
within an hour,>99.0,<=78.0,f,other,t,Bronx,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.47
within an hour,>99.0,(78.0-98.0],f,Long Island City,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,>99.0,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,1.0
NA,NA,<=78.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,>99.0,(78.0-98.0],t,Astoria,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,1,5.0
within an hour,>99.0,(78.0-98.0],f,other,t,Brooklyn,Entire home,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,4.0
within an hour,>99.0,<=78.0,f,other,t,Queens,Entire condo,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within a day,<=99.0,<=78.0,f,other,t,Brooklyn,Private room in home,Private room,(2.0-3.0],<=1.0,<=1.0,>2.0,<=100.0,>12.0,>1.0,0,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.8
within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,4.0
NA,NA,NA,f,Crown Heights,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,>1.0,>1.0,>2.0,>200.0,(1.0-12.0],<=1.0,0,t,<=0.15,<=16.0,<=2.0,<=2.0,(6.0-9.0],0,4.67
within a few hours,>99.0,<=78.0,t,other,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,<=6.0,0,5.0
within an hour,<=99.0,(78.0-98.0],t,other,t,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,>1,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,4.7
within a day,<=99.0,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,4.5
NA,NA,<=78.0,f,Astoria,t,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],<=2.0,>9.0,0,5.0
NA,NA,NA,f,other,f,Queens,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,<=1.0,0,t,>0.73,<=16.0,(2.0-6.0],<=2.0,>9.0,1,4.55
within a few hours,>99.0,<=78.0,t,Flushing,f,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,(1.0-2.0],>200.0,>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,0,4.98
NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
NA,NA,<=78.0,f,Long Island City,t,Queens,Entire rental unit,Entire home/apt,>3.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,t,(0.15-0.73],<=16.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
a few days or more,<=99.0,<=78.0,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,5.0
within a few hours,>99.0,<=78.0,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,>1.0,<=1.0,<=1.0,<=100.0,<=1.0,<=1.0,1,f,>0.73,<=16.0,<=2.0,<=2.0,<=6.0,1,5.0
within an hour,>99.0,>98.0,t,Harlem,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,>1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],<=2.0,>9.0,1,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,5.0
NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],1,5.0
NA,NA,NA,f,other,t,Queens,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],0,5.0
NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,>6.0,>2.0,>9.0,0,5.0
NA,NA,(78.0-98.0],t,other,t,Bronx,Private room in home,Private room,<=2.0,<=1.0,<=1.0,(1.0-2.0],(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],<=16.0,<=2.0,<=2.0,<=6.0,0,4.43
