host_name,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_identity_verified,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,instant_bookable,reviews_per_month,#amenities,first_review_year,last_review_year,host_since_year,shared_bathroom,review_scores_rating
Shoreham,NA,NA,NA,f,other,f,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,<=16.0,(2.0-6.0],<=2.0,<=6.0,0,4.47
An Artful Hotel,within an hour,<=99.0,(78.0-98.0],t,Hell's Kitchen,t,Manhattan,other,Private room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,>1.0,1,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.83
Federico,NA,NA,NA,f,other,t,Manhattan,Entire condo,Entire home/apt,>3.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Eliza,within an hour,>99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,>3.0,<=1.0,<=1.0,>2.0,(100.0-200.0],>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,4.12
Tamara,NA,NA,>98.0,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,t,<=0.15,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],0,4.25
Maureen,NA,NA,NA,f,other,f,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.93
Likowsky,NA,NA,NA,f,other,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,(6.0-9.0],1,4.5
Rikki,NA,NA,NA,f,other,f,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],0,5.0
Leslie,NA,NA,NA,f,Upper West Side,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,4.67
Charles,NA,NA,NA,f,other,t,Brooklyn,Entire rental unit,Entire home/apt,(2.0-3.0],NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
Michelle,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,>9.0,0,4.86
Natalie,NA,NA,NA,f,Upper East Side,f,Manhattan,other,Shared room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,5.0
Tyler,NA,NA,NA,f,other,t,Brooklyn,Private room in townhouse,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,4.83
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],(1.0-12.0],<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.5
Adam,NA,NA,NA,f,Chelsea,t,Manhattan,Entire condo,Entire home/apt,>3.0,NA,>1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,0,5.0
Charles,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,4.85
Mariam,NA,NA,<=78.0,f,other,t,Staten Island,Entire home,Entire home/apt,>3.0,<=1.0,>1.0,>2.0,(100.0-200.0],>12.0,>1.0,0,f,>0.73,>32.0,(2.0-6.0],<=2.0,(6.0-9.0],0,4.84
Niko,within an hour,>99.0,>98.0,t,Hell's Kitchen,t,Manhattan,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,>1,t,>0.73,>32.0,>6.0,<=2.0,>9.0,1,4.86
Brit,NA,NA,NA,f,Williamsburg,t,Brooklyn,Entire rental unit,Entire home/apt,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.64
Eliza,within an hour,>99.0,>98.0,f,other,t,Manhattan,Private room in rental unit,Private room,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],<=100.0,>12.0,>1.0,>1,t,>0.73,>32.0,<=2.0,<=2.0,<=6.0,1,4.33
Nicole,NA,NA,NA,f,Greenpoint,f,Brooklyn,Entire home,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,<=6.0,0,4.37
Arlo NoMad,within an hour,>99.0,(78.0-98.0],f,other,t,Manhattan,Room in hotel,Hotel room,<=2.0,<=1.0,<=1.0,<=1.0,>200.0,>12.0,<=1.0,0,t,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,<=6.0,1,4.65
Urban Furnished,within an hour,>99.0,(78.0-98.0],f,Chelsea,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],(1.0-12.0],>1.0,0,f,(0.15-0.73],>32.0,<=2.0,<=2.0,(6.0-9.0],0,4.67
Kosha,NA,NA,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,4.0
Yoni,NA,NA,NA,f,other,t,Brooklyn,Private room in home,Private room,<=2.0,NA,<=1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],>2.0,>9.0,1,4.35
Atthaphon,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,>12.0,<=1.0,0,t,>0.73,(16.0-32.0],>6.0,>2.0,(6.0-9.0],1,4.6
Jeniffer,within a few hours,<=99.0,(78.0-98.0],f,other,t,Manhattan,other,Private room,<=2.0,<=1.0,<=1.0,<=1.0,(100.0-200.0],>12.0,>1.0,1,f,>0.73,(16.0-32.0],(2.0-6.0],<=2.0,(6.0-9.0],0,4.88
Xinhua,NA,NA,NA,f,Upper West Side,t,Manhattan,Private room in rental unit,Private room,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,1,4.0
Nathan,NA,NA,NA,f,Park Slope,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,(0.15-0.73],<=16.0,(2.0-6.0],>2.0,(6.0-9.0],1,4.83
Jerry & Lynn,within an hour,>99.0,<=78.0,t,other,t,Manhattan,Entire rental unit,Entire home/apt,(2.0-3.0],<=1.0,<=1.0,(1.0-2.0],>200.0,<=1.0,<=1.0,0,f,<=0.15,>32.0,<=2.0,<=2.0,(6.0-9.0],0,5.0
Aneel,NA,NA,NA,f,other,f,Queens,Entire townhouse,Entire home/apt,>3.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.0
Alison,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,>3.0,NA,>1.0,NA,NA,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,<=6.0,0,4.12
Kristin Page,a few days or more,<=99.0,NA,f,Bedford-Stuyvesant,t,Brooklyn,Private room in townhouse,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,0,f,(0.15-0.73],(16.0-32.0],(2.0-6.0],>2.0,>9.0,0,5.0
Nami,NA,NA,NA,f,other,t,Brooklyn,Private room in rental unit,Private room,<=2.0,NA,NA,NA,NA,<=1.0,<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,>9.0,1,5.0
Frederick,NA,NA,NA,f,Crown Heights,t,Brooklyn,Private room in condo,Private room,<=2.0,NA,NA,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,(16.0-32.0],(2.0-6.0],>2.0,(6.0-9.0],1,5.0
Martin,NA,NA,NA,f,other,t,Manhattan,Entire rental unit,Entire home/apt,<=2.0,NA,<=1.0,NA,NA,(1.0-12.0],<=1.0,0,f,<=0.15,<=16.0,(2.0-6.0],>2.0,<=6.0,0,5.0
E And M,within an hour,>99.0,>98.0,t,Bushwick,t,Brooklyn,Private room in rental unit,Private room,<=2.0,<=1.0,<=1.0,<=1.0,<=100.0,>12.0,<=1.0,1,f,>0.73,>32.0,(2.0-6.0],<=2.0,<=6.0,1,4.92
